Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
198;1.384;3;34,003;;;;;;;;;;;;;;;;;;;;;
199;3.842;3;51,824;;;;;;;;;;;;;;;;;;;;;
200;1.294;4;29,324;;;;;;;;;;;;;;;;;;;;;
201;878;4;32,779;;;;;;;;;;;;;;;;;;;;;
202;3.779;2;68,36;;;;;;;;;;;;;;;;;;;;;
203;2.772;4;58,019;;;;;;;;;;;;;;;;;;;;;
204;2.801;3;49,642;;;;;;;;;;;;;;;;;;;;;
205;1.686;5;30,234;;;;;;;;;;;;;;;;;;;;;
206;1.237;3;32,17;;;;;;;;;;;;;;;;;;;;;
207;4.266;2;63,464;;;;;;;;;;;;;;;;;;;;;
208;2.951;3;49,026;;;;;;;;;;;;;;;;;;;;;
209;1.782;3;43,712;;;;;;;;;;;;;;;;;;;;;
210;2.431;4;37,375;;;;;;;;;;;;;;;;;;;;;
211;2.699;3;47,007;;;;;;;;;;;;;;;;;;;;;
212;329;3;19,651;;;;;;;;;;;;;;;;;;;;;
213;1.220;3;24,882;;;;;;;;;;;;;;;;;;;;;
214;2.985;4;53,566;;;;;;;;;;;;;;;;;;;;;
215;2.133;4;47,6;;;;;;;;;;;;;;;;;;;;;
216;1.225;5;32,713;;;;;;;;;;;;;;;;;;;;;
217;1.333;3;38,933;;;;;;;;;;;;;;;;;;;;;
218;2.104;2;44,69;;;;;;;;;;;;;;;;;;;;;
219;916;3;29,968;;;;;;;;;;;;;;;;;;;;;
220;2.759;3;47,727;;;;;;;;;;;;;;;;;;;;;
221;3.175;2;58,9;;;;;;;;;;;;;;;;;;;;;
222;1.677;5;37,221;;;;;;;;;;;;;;;;;;;;;
223;899;4;33,525;;;;;;;;;;;;;;;;;;;;;
224;4.797;3;65,205;;;;;;;;;;;;;;;;;;;;;
225;1.378;6;39,858;;;;;;;;;;;;;;;;;;;;;
226;2.463;2;43,51;;;;;;;;;;;;;;;;;;;;;
227;1.111;3;29,345;;;;;;;;;;;;;;;;;;;;;
