Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
1630;1.453;3;40,673;;;;;;;;;;;;;;;;;;;;;
1631;641;4;28,412;;;;;;;;;;;;;;;;;;;;;
1632;156;4;13,249;;;;;;;;;;;;;;;;;;;;;
1633;1.606;4;36,424;;;;;;;;;;;;;;;;;;;;;
1634;1.992;3;44,241;;;;;;;;;;;;;;;;;;;;;
1635;951;5;33,868;;;;;;;;;;;;;;;;;;;;;
1636;689;4;28,04;;;;;;;;;;;;;;;;;;;;;
1637;1.444;3;38,711;;;;;;;;;;;;;;;;;;;;;
1638;1.266;4;29,238;;;;;;;;;;;;;;;;;;;;;
1639;993;5;23,19;;;;;;;;;;;;;;;;;;;;;
1640;1.103;4;37,704;;;;;;;;;;;;;;;;;;;;;
1641;1.355;2;35,678;;;;;;;;;;;;;;;;;;;;;
1642;998;5;25,44;;;;;;;;;;;;;;;;;;;;;
1643;650;4;24,142;;;;;;;;;;;;;;;;;;;;;
1644;1.214;3;37,004;;;;;;;;;;;;;;;;;;;;;
1645;1.487;4;37,102;;;;;;;;;;;;;;;;;;;;;
1646;1.152;4;35,452;;;;;;;;;;;;;;;;;;;;;
1647;209;6;14,795;;;;;;;;;;;;;;;;;;;;;
1648;3.497;4;42,61;;;;;;;;;;;;;;;;;;;;;
1649;757;4;22,666;;;;;;;;;;;;;;;;;;;;;
1650;3.943;3;50,697;;;;;;;;;;;;;;;;;;;;;
1651;1.152;5;37,204;;;;;;;;;;;;;;;;;;;;;
1652;1.126;4;34,135;;;;;;;;;;;;;;;;;;;;;
1653;4.311;3;72,64;;;;;;;;;;;;;;;;;;;;;
1654;2.366;3;49,636;;;;;;;;;;;;;;;;;;;;;
1655;182;6;18,385;;;;;;;;;;;;;;;;;;;;;
1656;685;4;26,554;;;;;;;;;;;;;;;;;;;;;
1657;1.360;4;36,808;;;;;;;;;;;;;;;;;;;;;
1658;2.031;4;46,974;;;;;;;;;;;;;;;;;;;;;
1659;1.250;4;34,461;;;;;;;;;;;;;;;;;;;;;
1660;2.367;3;50,116;;;;;;;;;;;;;;;;;;;;;
1661;145;7;9,849;;;;;;;;;;;;;;;;;;;;;
1662;757;3;28,893;;;;;;;;;;;;;;;;;;;;;
1663;3.824;3;53,483;;;;;;;;;;;;;;;;;;;;;
1664;1.556;4;41,451;;;;;;;;;;;;;;;;;;;;;
1665;1.411;4;35,554;;;;;;;;;;;;;;;;;;;;;
1666;3.339;4;56,762;;;;;;;;;;;;;;;;;;;;;
1667;3.846;3;56,003;;;;;;;;;;;;;;;;;;;;;
1668;266;4;11,53;;;;;;;;;;;;;;;;;;;;;
1669;451;3;18,195;;;;;;;;;;;;;;;;;;;;;
1670;1.659;4;41,517;;;;;;;;;;;;;;;;;;;;;
1671;2.315;5;46,604;;;;;;;;;;;;;;;;;;;;;
1672;1.625;4;38,952;;;;;;;;;;;;;;;;;;;;;
1673;105;6;11,89;;;;;;;;;;;;;;;;;;;;;
1674;1.495;4;36,643;;;;;;;;;;;;;;;;;;;;;
1675;769;4;31,042;;;;;;;;;;;;;;;;;;;;;
1676;3.192;3;52,479;;;;;;;;;;;;;;;;;;;;;
1677;2.307;3;44,032;;;;;;;;;;;;;;;;;;;;;
1678;1.466;3;38,429;;;;;;;;;;;;;;;;;;;;;
1679;144;6;11,275;;;;;;;;;;;;;;;;;;;;;
1680;1.010;4;35,949;;;;;;;;;;;;;;;;;;;;;
1681;1.585;3;38,965;;;;;;;;;;;;;;;;;;;;;
1682;592;23;31,817;;;;;;;;;;;;;;;;;;;;;
1683;1.363;4;40,37;;;;;;;;;;;;;;;;;;;;;
1684;947;3;32,754;;;;;;;;;;;;;;;;;;;;;
1685;183;3;9,012;;;;;;;;;;;;;;;;;;;;;
1686;106;7;7,743;;;;;;;;;;;;;;;;;;;;;
1687;875;3;26,751;;;;;;;;;;;;;;;;;;;;;
1688;1.483;4;32,341;;;;;;;;;;;;;;;;;;;;;
1689;2.415;3;48,799;;;;;;;;;;;;;;;;;;;;;
1690;292;6;15,302;;;;;;;;;;;;;;;;;;;;;
1691;886;3;29,473;;;;;;;;;;;;;;;;;;;;;
1692;571;4;25,093;;;;;;;;;;;;;;;;;;;;;
1693;1.900;4;45,442;;;;;;;;;;;;;;;;;;;;;
1694;628;4;18,327;;;;;;;;;;;;;;;;;;;;;
1695;2.341;2;43,327;;;;;;;;;;;;;;;;;;;;;
1696;339;2;17,762;;;;;;;;;;;;;;;;;;;;;
1697;505;3;24,564;;;;;;;;;;;;;;;;;;;;;
1698;1.346;4;34,09;;;;;;;;;;;;;;;;;;;;;
1699;855;3;23,37;;;;;;;;;;;;;;;;;;;;;
1700;509;4;18,462;;;;;;;;;;;;;;;;;;;;;
1701;3.972;1;55,8;;;;;;;;;;;;;;;;;;;;;
1702;432;5;23,128;;;;;;;;;;;;;;;;;;;;;
1703;1.437;4;38,845;;;;;;;;;;;;;;;;;;;;;
1704;1.961;3;41,903;;;;;;;;;;;;;;;;;;;;;
1705;2.277;4;42,128;;;;;;;;;;;;;;;;;;;;;
1706;2.801;3;57,111;;;;;;;;;;;;;;;;;;;;;
1707;541;5;20,887;;;;;;;;;;;;;;;;;;;;;
1708;1.511;4;38,476;;;;;;;;;;;;;;;;;;;;;
1709;2.313;4;51,765;;;;;;;;;;;;;;;;;;;;;
1710;596;3;22,961;;;;;;;;;;;;;;;;;;;;;
1711;280;19;14,569;;;;;;;;;;;;;;;;;;;;;
1712;1.620;3;37,461;;;;;;;;;;;;;;;;;;;;;
1713;545;4;21,909;;;;;;;;;;;;;;;;;;;;;
1714;2.400;3;44,38;;;;;;;;;;;;;;;;;;;;;
1715;753;3;22,154;;;;;;;;;;;;;;;;;;;;;
1716;912;4;26,234;;;;;;;;;;;;;;;;;;;;;
1717;1.116;3;32,629;;;;;;;;;;;;;;;;;;;;;
1718;5.043;3;64,55;;;;;;;;;;;;;;;;;;;;;
1719;1.194;4;33,559;;;;;;;;;;;;;;;;;;;;;
1720;674;4;27,735;;;;;;;;;;;;;;;;;;;;;
1721;3.442;3;59,157;;;;;;;;;;;;;;;;;;;;;
1722;570;3;24,042;;;;;;;;;;;;;;;;;;;;;
1723;3.581;3;58,254;;;;;;;;;;;;;;;;;;;;;
1724;1.263;4;32,395;;;;;;;;;;;;;;;;;;;;;
1725;1.245;4;31,056;;;;;;;;;;;;;;;;;;;;;
1726;1.171;4;30,114;;;;;;;;;;;;;;;;;;;;;
1727;926;4;33,017;;;;;;;;;;;;;;;;;;;;;
1728;865;3;31,857;;;;;;;;;;;;;;;;;;;;;
1729;564;6;25,543;;;;;;;;;;;;;;;;;;;;;
1730;1.122;3;32,714;;;;;;;;;;;;;;;;;;;;;
1731;980;4;29,397;;;;;;;;;;;;;;;;;;;;;
1732;719;6;23,411;;;;;;;;;;;;;;;;;;;;;
1733;3.813;3;66,791;;;;;;;;;;;;;;;;;;;;;
1734;1.169;3;34,769;;;;;;;;;;;;;;;;;;;;;
1735;2.142;4;36,842;;;;;;;;;;;;;;;;;;;;;
1736;1.512;2;40,461;;;;;;;;;;;;;;;;;;;;;
1737;1.052;3;28,311;;;;;;;;;;;;;;;;;;;;;
1738;140;6;11,877;;;;;;;;;;;;;;;;;;;;;
1739;838;3;18,283;;;;;;;;;;;;;;;;;;;;;
1740;1.094;3;35,282;;;;;;;;;;;;;;;;;;;;;
1741;1.533;4;41,347;;;;;;;;;;;;;;;;;;;;;
1742;587;4;22,871;;;;;;;;;;;;;;;;;;;;;
1743;1.573;3;38,814;;;;;;;;;;;;;;;;;;;;;
1744;2.038;4;34,302;;;;;;;;;;;;;;;;;;;;;
1745;997;3;34,03;;;;;;;;;;;;;;;;;;;;;
1746;365;5;16,731;;;;;;;;;;;;;;;;;;;;;
1747;1.094;3;30,782;;;;;;;;;;;;;;;;;;;;;
1748;1.353;4;30,823;;;;;;;;;;;;;;;;;;;;;
1749;1.120;4;41,142;;;;;;;;;;;;;;;;;;;;;
1750;1.080;4;26,332;;;;;;;;;;;;;;;;;;;;;
1751;2.812;3;53,435;;;;;;;;;;;;;;;;;;;;;
1752;1.339;4;38,316;;;;;;;;;;;;;;;;;;;;;
1753;969;3;30,769;;;;;;;;;;;;;;;;;;;;;
1754;810;3;27,233;;;;;;;;;;;;;;;;;;;;;
1755;131;3;11,314;;;;;;;;;;;;;;;;;;;;;
1756;1.380;4;32,946;;;;;;;;;;;;;;;;;;;;;
1757;901;4;30,926;;;;;;;;;;;;;;;;;;;;;
1758;826;3;28,371;;;;;;;;;;;;;;;;;;;;;
1759;1.053;3;23,083;;;;;;;;;;;;;;;;;;;;;
1760;1.517;3;37,918;;;;;;;;;;;;;;;;;;;;;
1761;901;3;28,308;;;;;;;;;;;;;;;;;;;;;
1762;1.645;2;38,307;;;;;;;;;;;;;;;;;;;;;
1763;2.497;3;54,395;;;;;;;;;;;;;;;;;;;;;
1764;511;2;20,781;;;;;;;;;;;;;;;;;;;;;
1765;829;4;27,109;;;;;;;;;;;;;;;;;;;;;
1766;705;6;23,788;;;;;;;;;;;;;;;;;;;;;
1767;1.566;4;39,012;;;;;;;;;;;;;;;;;;;;;
1768;1.819;4;32,411;;;;;;;;;;;;;;;;;;;;;
1769;1.530;4;31,655;;;;;;;;;;;;;;;;;;;;;
1770;2.576;4;44,593;;;;;;;;;;;;;;;;;;;;;
1771;1.354;2;36,146;;;;;;;;;;;;;;;;;;;;;
1772;547;3;22,36;;;;;;;;;;;;;;;;;;;;;
1773;1.095;2;29,399;;;;;;;;;;;;;;;;;;;;;
1774;1.055;3;36,008;;;;;;;;;;;;;;;;;;;;;
1775;534;3;23,937;;;;;;;;;;;;;;;;;;;;;
1776;582;3;21,017;;;;;;;;;;;;;;;;;;;;;
1777;1.524;3;40,855;;;;;;;;;;;;;;;;;;;;;
1778;373;3;20,513;;;;;;;;;;;;;;;;;;;;;
1779;951;4;28,155;;;;;;;;;;;;;;;;;;;;;
1780;2.142;5;50,5;;;;;;;;;;;;;;;;;;;;;
1781;1.683;3;41,921;;;;;;;;;;;;;;;;;;;;;
1782;856;3;28,241;;;;;;;;;;;;;;;;;;;;;
1783;1.029;3;33,568;;;;;;;;;;;;;;;;;;;;;
1784;312;3;14,359;;;;;;;;;;;;;;;;;;;;;
1785;505;5;19,887;;;;;;;;;;;;;;;;;;;;;
1786;498;5;20,807;;;;;;;;;;;;;;;;;;;;;
1787;1.423;3;40,661;;;;;;;;;;;;;;;;;;;;;
1788;1.317;4;26,538;;;;;;;;;;;;;;;;;;;;;
1789;1.317;35;27,888;;;;;;;;;;;;;;;;;;;;;
1790;440;5;18,469;;;;;;;;;;;;;;;;;;;;;
1791;602;4;23,96;;;;;;;;;;;;;;;;;;;;;
1792;1.080;3;31,375;;;;;;;;;;;;;;;;;;;;;
1793;3.515;3;51,239;;;;;;;;;;;;;;;;;;;;;
1794;434;5;19,304;;;;;;;;;;;;;;;;;;;;;
1795;1.913;2;46,159;;;;;;;;;;;;;;;;;;;;;
1796;965;3;30,665;;;;;;;;;;;;;;;;;;;;;
1797;529;6;26,206;;;;;;;;;;;;;;;;;;;;;
1798;3.554;2;50,971;;;;;;;;;;;;;;;;;;;;;
1799;2.003;3;46,907;;;;;;;;;;;;;;;;;;;;;
1800;755;3;22,692;;;;;;;;;;;;;;;;;;;;;
1801;889;2;24,205;;;;;;;;;;;;;;;;;;;;;
1802;1.683;2;43,683;;;;;;;;;;;;;;;;;;;;;
1803;3.030;3;56,83;;;;;;;;;;;;;;;;;;;;;
1804;2.954;4;60,866;;;;;;;;;;;;;;;;;;;;;
1805;1.323;2;29,538;;;;;;;;;;;;;;;;;;;;;
1806;883;3;32,249;;;;;;;;;;;;;;;;;;;;;
1807;805;2;26,532;;;;;;;;;;;;;;;;;;;;;
1808;3.018;26;51,026;;;;;;;;;;;;;;;;;;;;;
1809;1.548;3;37,658;;;;;;;;;;;;;;;;;;;;;
1810;1.199;4;33,814;;;;;;;;;;;;;;;;;;;;;
1811;786;5;25,261;;;;;;;;;;;;;;;;;;;;;
1812;1.054;4;30,704;;;;;;;;;;;;;;;;;;;;;
1813;1.853;4;46,026;;;;;;;;;;;;;;;;;;;;;
1814;4.257;2;64,943;;;;;;;;;;;;;;;;;;;;;
1815;1.218;2;26,475;;;;;;;;;;;;;;;;;;;;;
1816;566;2;25,186;;;;;;;;;;;;;;;;;;;;;
1817;853;6;29,134;;;;;;;;;;;;;;;;;;;;;
1818;658;3;19,898;;;;;;;;;;;;;;;;;;;;;
1819;1.538;4;35,992;;;;;;;;;;;;;;;;;;;;;
1820;1.576;8;29,905;;;;;;;;;;;;;;;;;;;;;
1821;382;4;20,168;;;;;;;;;;;;;;;;;;;;;
1822;1.757;2;42,121;;;;;;;;;;;;;;;;;;;;;
1823;716;3;26,706;;;;;;;;;;;;;;;;;;;;;
1824;1.912;2;42,382;;;;;;;;;;;;;;;;;;;;;
1825;1.765;8;43,748;;;;;;;;;;;;;;;;;;;;;
1826;1.091;3;30,646;;;;;;;;;;;;;;;;;;;;;
1827;939;2;28,037;;;;;;;;;;;;;;;;;;;;;
1828;314;4;18,599;;;;;;;;;;;;;;;;;;;;;
1829;1.174;3;25,518;;;;;;;;;;;;;;;;;;;;;
1830;1.994;3;49,707;;;;;;;;;;;;;;;;;;;;;
1831;2.361;2;51,305;;;;;;;;;;;;;;;;;;;;;
1832;1.321;32;34,085;;;;;;;;;;;;;;;;;;;;;
1833;2.548;3;52,324;;;;;;;;;;;;;;;;;;;;;
1834;359;29;16,695;;;;;;;;;;;;;;;;;;;;;
1835;386;2;19,364;;;;;;;;;;;;;;;;;;;;;
1836;2.252;3;39,219;;;;;;;;;;;;;;;;;;;;;
1837;1.257;3;30,47;;;;;;;;;;;;;;;;;;;;;
1838;1.411;2;31,052;;;;;;;;;;;;;;;;;;;;;
1839;205;35;13,644;;;;;;;;;;;;;;;;;;;;;
1840;966;3;27,258;;;;;;;;;;;;;;;;;;;;;
1841;463;7;17,307;;;;;;;;;;;;;;;;;;;;;
1842;497;2;24,285;;;;;;;;;;;;;;;;;;;;;
1843;1.634;2;40,827;;;;;;;;;;;;;;;;;;;;;
1844;959;6;25,533;;;;;;;;;;;;;;;;;;;;;
1845;4.382;1;66,503;;;;;;;;;;;;;;;;;;;;;
1846;672;3;27,973;;;;;;;;;;;;;;;;;;;;;
1847;1.913;4;38,168;;;;;;;;;;;;;;;;;;;;;
1848;3.511;2;59,063;;;;;;;;;;;;;;;;;;;;;
1849;830;2;24,205;;;;;;;;;;;;;;;;;;;;;
1850;157;3;12,289;;;;;;;;;;;;;;;;;;;;;
1851;1.807;3;40,083;;;;;;;;;;;;;;;;;;;;;
1852;1.549;5;40,995;;;;;;;;;;;;;;;;;;;;;
1853;534;4;23,861;;;;;;;;;;;;;;;;;;;;;
1854;348;3;19,778;;;;;;;;;;;;;;;;;;;;;
1855;2.376;3;42,366;;;;;;;;;;;;;;;;;;;;;
1856;817;3;26,493;;;;;;;;;;;;;;;;;;;;;
1857;907;2;23,961;;;;;;;;;;;;;;;;;;;;;
1858;447;36;16,404;;;;;;;;;;;;;;;;;;;;;
1859;1.873;3;47,753;;;;;;;;;;;;;;;;;;;;;
1860;2.632;4;58,776;;;;;;;;;;;;;;;;;;;;;
1861;1.369;4;33,571;;;;;;;;;;;;;;;;;;;;;
1862;427;4;18,639;;;;;;;;;;;;;;;;;;;;;
1863;2.112;3;37,123;;;;;;;;;;;;;;;;;;;;;
1864;642;3;17,749;;;;;;;;;;;;;;;;;;;;;
1865;1.300;3;27,803;;;;;;;;;;;;;;;;;;;;;
1866;1.995;2;44,767;;;;;;;;;;;;;;;;;;;;;
1867;869;2;32,526;;;;;;;;;;;;;;;;;;;;;
1868;647;8;27,875;;;;;;;;;;;;;;;;;;;;;
1869;917;34;32,886;;;;;;;;;;;;;;;;;;;;;
1870;1.481;2;31,844;;;;;;;;;;;;;;;;;;;;;
1871;4.087;3;62,773;;;;;;;;;;;;;;;;;;;;;
1872;258;6;16,455;;;;;;;;;;;;;;;;;;;;;
1873;3.051;2;60,92;;;;;;;;;;;;;;;;;;;;;
1874;2.840;3;60,202;;;;;;;;;;;;;;;;;;;;;
1875;2.927;20;59,358;;;;;;;;;;;;;;;;;;;;;
1876;712;2;30,363;;;;;;;;;;;;;;;;;;;;;
1877;749;38;24,917;;;;;;;;;;;;;;;;;;;;;
1878;953;3;28,573;;;;;;;;;;;;;;;;;;;;;
1879;595;4;20,017;;;;;;;;;;;;;;;;;;;;;
1880;3.111;2;46,153;;;;;;;;;;;;;;;;;;;;;
1881;764;2;19,557;;;;;;;;;;;;;;;;;;;;;
1882;3.698;9;45,622;;;;;;;;;;;;;;;;;;;;;
1883;155;3;13,713;;;;;;;;;;;;;;;;;;;;;
1884;2.227;2;47,455;;;;;;;;;;;;;;;;;;;;;
1885;172;4;12,984;;;;;;;;;;;;;;;;;;;;;
1886;3.421;3;53,898;;;;;;;;;;;;;;;;;;;;;
1887;307;3;14,965;;;;;;;;;;;;;;;;;;;;;
1888;870;3;28,181;;;;;;;;;;;;;;;;;;;;;
1889;660;3;18,562;;;;;;;;;;;;;;;;;;;;;
1890;972;3;31,148;;;;;;;;;;;;;;;;;;;;;
1891;423;2;16,767;;;;;;;;;;;;;;;;;;;;;
1892;1.669;3;43,244;;;;;;;;;;;;;;;;;;;;;
1893;2.069;2;53,466;;;;;;;;;;;;;;;;;;;;;
1894;212;3;11,87;;;;;;;;;;;;;;;;;;;;;
1895;1.570;3;38,363;;;;;;;;;;;;;;;;;;;;;
1896;2.830;2;52,164;;;;;;;;;;;;;;;;;;;;;
1897;1.217;2;36,144;;;;;;;;;;;;;;;;;;;;;
1898;1.584;3;42,717;;;;;;;;;;;;;;;;;;;;;
1899;412;3;17,978;;;;;;;;;;;;;;;;;;;;;
1900;679;3;25,484;;;;;;;;;;;;;;;;;;;;;
1901;1.457;3;37,376;;;;;;;;;;;;;;;;;;;;;
1902;319;3;14,476;;;;;;;;;;;;;;;;;;;;;
1903;2.009;4;33,864;;;;;;;;;;;;;;;;;;;;;
1904;1.218;3;30,548;;;;;;;;;;;;;;;;;;;;;
1905;865;3;29,908;;;;;;;;;;;;;;;;;;;;;
1906;733;4;22,564;;;;;;;;;;;;;;;;;;;;;
1907;2.595;2;56,205;;;;;;;;;;;;;;;;;;;;;
1908;1.012;2;34,428;;;;;;;;;;;;;;;;;;;;;
1909;1.974;2;43,611;;;;;;;;;;;;;;;;;;;;;
1910;957;3;33,308;;;;;;;;;;;;;;;;;;;;;
1911;1.047;6;27,828;;;;;;;;;;;;;;;;;;;;;
1912;1.993;3;44,369;;;;;;;;;;;;;;;;;;;;;
1913;182;3;14,105;;;;;;;;;;;;;;;;;;;;;
1914;1.726;2;40,412;;;;;;;;;;;;;;;;;;;;;
1915;818;4;26,835;;;;;;;;;;;;;;;;;;;;;
1916;1.876;4;35,777;;;;;;;;;;;;;;;;;;;;;
1917;150;4;9,523;;;;;;;;;;;;;;;;;;;;;
1918;321;3;17,641;;;;;;;;;;;;;;;;;;;;;
1919;1.775;3;47,675;;;;;;;;;;;;;;;;;;;;;
1920;311;4;18,957;;;;;;;;;;;;;;;;;;;;;
1921;1.015;3;25,776;;;;;;;;;;;;;;;;;;;;;
1922;1.055;3;33,266;;;;;;;;;;;;;;;;;;;;;
1923;236;4;11,212;;;;;;;;;;;;;;;;;;;;;
1924;107;4;11,259;;;;;;;;;;;;;;;;;;;;;
1925;510;5;21,177;;;;;;;;;;;;;;;;;;;;;
1926;2.952;2;47,313;;;;;;;;;;;;;;;;;;;;;
1927;909;3;33,695;;;;;;;;;;;;;;;;;;;;;
1928;1.524;2;40,516;;;;;;;;;;;;;;;;;;;;;
1929;1.016;3;33,681;;;;;;;;;;;;;;;;;;;;;
1930;550;3;21,628;;;;;;;;;;;;;;;;;;;;;
1931;2.222;3;46,873;;;;;;;;;;;;;;;;;;;;;
1932;213;4;15,965;;;;;;;;;;;;;;;;;;;;;
1933;1.125;2;28,163;;;;;;;;;;;;;;;;;;;;;
1934;266;6;16,254;;;;;;;;;;;;;;;;;;;;;
1935;1.581;2;39,136;;;;;;;;;;;;;;;;;;;;;
1936;326;2;16,804;;;;;;;;;;;;;;;;;;;;;
1937;1.472;4;30,924;;;;;;;;;;;;;;;;;;;;;
1938;991;3;36,923;;;;;;;;;;;;;;;;;;;;;
1939;935;2;26,118;;;;;;;;;;;;;;;;;;;;;
1940;3.821;2;63,929;;;;;;;;;;;;;;;;;;;;;
1941;2.432;2;37,615;;;;;;;;;;;;;;;;;;;;;
1942;1.434;2;41,033;;;;;;;;;;;;;;;;;;;;;
1943;1.245;3;32,471;;;;;;;;;;;;;;;;;;;;;
1944;298;4;17,86;;;;;;;;;;;;;;;;;;;;;
1945;867;3;25,331;;;;;;;;;;;;;;;;;;;;;
1946;1.388;3;34,236;;;;;;;;;;;;;;;;;;;;;
1947;1.397;2;36,947;;;;;;;;;;;;;;;;;;;;;
1948;707;3;26,656;;;;;;;;;;;;;;;;;;;;;
1949;758;3;25,797;;;;;;;;;;;;;;;;;;;;;
1950;721;3;22,288;;;;;;;;;;;;;;;;;;;;;
1951;937;3;24,438;;;;;;;;;;;;;;;;;;;;;
1952;794;3;28,682;;;;;;;;;;;;;;;;;;;;;
1953;2.173;2;39,489;;;;;;;;;;;;;;;;;;;;;
1954;1.793;2;42,668;;;;;;;;;;;;;;;;;;;;;
1955;1.327;3;34,674;;;;;;;;;;;;;;;;;;;;;
1956;2.707;3;53,897;;;;;;;;;;;;;;;;;;;;;
1957;1.329;3;40,672;;;;;;;;;;;;;;;;;;;;;
1958;569;9;18,587;;;;;;;;;;;;;;;;;;;;;
1959;1.948;3;44,245;;;;;;;;;;;;;;;;;;;;;
1960;1.536;3;34,898;;;;;;;;;;;;;;;;;;;;;
1961;1.030;2;30,51;;;;;;;;;;;;;;;;;;;;;
1962;1.409;3;42,237;;;;;;;;;;;;;;;;;;;;;
1963;2.344;2;35,941;;;;;;;;;;;;;;;;;;;;;
1964;197;2;11,747;;;;;;;;;;;;;;;;;;;;;
1965;685;3;29,607;;;;;;;;;;;;;;;;;;;;;
1966;941;2;26,436;;;;;;;;;;;;;;;;;;;;;
1967;1.515;3;29,978;;;;;;;;;;;;;;;;;;;;;
1968;1.461;3;35,404;;;;;;;;;;;;;;;;;;;;;
1969;345;4;17,18;;;;;;;;;;;;;;;;;;;;;
1970;1.157;3;37,124;;;;;;;;;;;;;;;;;;;;;
1971;1.249;3;37,274;;;;;;;;;;;;;;;;;;;;;
1972;1.302;2;30,691;;;;;;;;;;;;;;;;;;;;;
1973;861;2;29,297;;;;;;;;;;;;;;;;;;;;;
1974;2.527;3;49,218;;;;;;;;;;;;;;;;;;;;;
1975;114;36;12,987;;;;;;;;;;;;;;;;;;;;;
1976;831;2;25,274;;;;;;;;;;;;;;;;;;;;;
1977;439;3;20,887;;;;;;;;;;;;;;;;;;;;;
1978;1.063;4;22,243;;;;;;;;;;;;;;;;;;;;;
1979;931;3;25,026;;;;;;;;;;;;;;;;;;;;;
1980;1.747;2;46,976;;;;;;;;;;;;;;;;;;;;;
1981;2.088;2;46,047;;;;;;;;;;;;;;;;;;;;;
1982;3.598;2;60,002;;;;;;;;;;;;;;;;;;;;;
1983;1.745;3;34,192;;;;;;;;;;;;;;;;;;;;;
1984;124;6;9,666;;;;;;;;;;;;;;;;;;;;;
1985;685;3;17,888;;;;;;;;;;;;;;;;;;;;;
1986;1.483;3;33,688;;;;;;;;;;;;;;;;;;;;;
1987;2.069;2;51,49;;;;;;;;;;;;;;;;;;;;;
1988;1.205;3;33,04;;;;;;;;;;;;;;;;;;;;;
1989;363;4;21,833;;;;;;;;;;;;;;;;;;;;;
1990;165;4;13,596;;;;;;;;;;;;;;;;;;;;;
1991;1.071;2;31,692;;;;;;;;;;;;;;;;;;;;;
1992;3.241;1;61,689;;;;;;;;;;;;;;;;;;;;;
1993;186;9;14,491;;;;;;;;;;;;;;;;;;;;;
1994;2.624;2;48,969;;;;;;;;;;;;;;;;;;;;;
1995;2.200;3;46,998;;;;;;;;;;;;;;;;;;;;;
1996;967;3;34,872;;;;;;;;;;;;;;;;;;;;;
1997;1.109;3;31,008;;;;;;;;;;;;;;;;;;;;;
1998;735;2;28,901;;;;;;;;;;;;;;;;;;;;;
1999;1.487;2;36,724;;;;;;;;;;;;;;;;;;;;;
2000;143;4;11,425;;;;;;;;;;;;;;;;;;;;;
2001;778;2;23,476;;;;;;;;;;;;;;;;;;;;;
2002;674;6;26,904;;;;;;;;;;;;;;;;;;;;;
2003;1.030;3;26,199;;;;;;;;;;;;;;;;;;;;;
2004;1.044;4;29,639;;;;;;;;;;;;;;;;;;;;;
2005;856;2;26,346;;;;;;;;;;;;;;;;;;;;;
2006;290;4;11,497;;;;;;;;;;;;;;;;;;;;;
2007;695;2;27,322;;;;;;;;;;;;;;;;;;;;;
2008;377;3;18,467;;;;;;;;;;;;;;;;;;;;;
2009;1.078;3;26,738;;;;;;;;;;;;;;;;;;;;;
2010;2.507;3;35,465;;;;;;;;;;;;;;;;;;;;;
2011;862;3;31,8;;;;;;;;;;;;;;;;;;;;;
2012;530;3;20,513;;;;;;;;;;;;;;;;;;;;;
2013;933;3;33,231;;;;;;;;;;;;;;;;;;;;;
2014;3.242;2;59,356;;;;;;;;;;;;;;;;;;;;;
2015;3.276;1;58,131;;;;;;;;;;;;;;;;;;;;;
2016;1.149;3;33,559;;;;;;;;;;;;;;;;;;;;;
2017;1.496;3;35,225;;;;;;;;;;;;;;;;;;;;;
2018;580;3;20,888;;;;;;;;;;;;;;;;;;;;;
2019;721;3;23,832;;;;;;;;;;;;;;;;;;;;;
2020;965;2;28,596;;;;;;;;;;;;;;;;;;;;;
2021;1.757;3;45,809;;;;;;;;;;;;;;;;;;;;;
2022;1.104;4;36,497;;;;;;;;;;;;;;;;;;;;;
2023;1.110;2;27,461;;;;;;;;;;;;;;;;;;;;;
2024;648;2;26,806;;;;;;;;;;;;;;;;;;;;;
2025;947;3;27,472;;;;;;;;;;;;;;;;;;;;;
2026;3.133;2;50,689;;;;;;;;;;;;;;;;;;;;;
2027;911;2;30,62;;;;;;;;;;;;;;;;;;;;;
2028;382;2;17,744;;;;;;;;;;;;;;;;;;;;;
2029;636;3;27,454;;;;;;;;;;;;;;;;;;;;;
2030;743;2;23,385;;;;;;;;;;;;;;;;;;;;;
2031;223;2;11,187;;;;;;;;;;;;;;;;;;;;;
2032;1.241;3;28,071;;;;;;;;;;;;;;;;;;;;;
2033;713;2;25,122;;;;;;;;;;;;;;;;;;;;;
2034;1.067;2;34,195;;;;;;;;;;;;;;;;;;;;;
2035;609;2;27,559;;;;;;;;;;;;;;;;;;;;;
2036;857;3;29,508;;;;;;;;;;;;;;;;;;;;;
2037;716;2;22,839;;;;;;;;;;;;;;;;;;;;;
2038;1.586;4;39,683;;;;;;;;;;;;;;;;;;;;;
2039;1.814;4;32,558;;;;;;;;;;;;;;;;;;;;;
2040;870;3;31,397;;;;;;;;;;;;;;;;;;;;;
2041;791;3;29,318;;;;;;;;;;;;;;;;;;;;;
2042;1.262;3;27,677;;;;;;;;;;;;;;;;;;;;;
2043;949;2;32,42;;;;;;;;;;;;;;;;;;;;;
2044;1.688;2;34,051;;;;;;;;;;;;;;;;;;;;;
