fiber_id,area_px,centroid_x,centroid_y,perimeter_px,equiv_diameter_px,circularity,aspect_ratio,bbox_x,bbox_y,bbox_width,bbox_height
130,20536.00,5792.13,4440.19,1416.42,161.70,0.13,1.41,5645,4302,380,270
131,20503.50,3612.90,7388.11,940.25,161.57,0.29,1.56,3508,7320,239,153
132,20321.50,6342.40,2392.20,649.25,160.85,0.61,1.17,6234,2299,209,179
133,20312.50,6283.96,3320.75,617.23,160.82,0.67,1.38,6168,3243,211,153
134,20277.50,2570.73,7704.90,659.94,160.68,0.59,0.68,2490,7604,155,229
135,20250.00,5697.95,3105.23,635.27,160.57,0.63,1.75,5576,3032,234,134
136,20134.50,2594.90,3301.76,854.02,160.11,0.35,1.78,2464,3222,269,151
137,20110.00,1605.33,6865.04,735.98,160.02,0.47,1.10,1519,6782,197,179
138,20105.50,5174.80,5839.19,620.34,160.00,0.66,0.74,5107,5740,153,206
139,20104.50,5893.49,6794.26,578.40,159.99,0.76,0.98,5811,6714,170,173
140,20083.50,5935.75,7369.58,1631.22,159.91,0.09,1.40,5774,7258,321,230
141,20064.50,3013.34,4668.52,1395.17,159.83,0.13,1.02,2851,4508,328,320
142,20048.00,3529.09,2235.00,722.87,159.77,0.48,0.69,3446,2113,160,233
143,20041.00,5463.16,4210.33,1063.89,159.74,0.22,0.60,5362,4006,202,338
144,19927.50,5573.58,3038.42,631.31,159.29,0.63,1.51,5465,2961,230,152
145,19879.50,2603.30,3995.64,1011.84,159.10,0.24,1.32,2483,3894,242,183
146,19854.50,5278.28,2997.80,575.71,159.00,0.75,1.09,5182,2909,183,168
147,19725.00,7396.87,4241.39,666.24,158.48,0.56,1.25,7297,4164,192,153
148,19708.00,6614.82,3349.13,646.87,158.41,0.59,1.01,6521,3249,198,196
149,19647.50,3376.67,1879.65,1025.64,158.16,0.23,2.12,3213,1812,294,139
150,19644.50,5269.81,3252.40,608.97,158.15,0.67,1.35,5165,3168,215,159
151,19634.50,7257.71,3833.89,694.08,158.11,0.51,0.92,7147,3715,194,211
152,19621.50,3791.88,2204.21,640.06,158.06,0.60,1.17,3689,2117,194,166
153,19614.50,2312.11,5856.26,641.91,158.03,0.60,0.50,2249,5734,120,240
154,19605.00,6117.27,4511.10,1149.28,157.99,0.19,0.96,6017,4385,206,214
155,19469.00,7499.60,3944.04,627.19,157.44,0.62,1.09,7398,3850,186,170
156,19462.50,4791.61,5152.44,1256.18,157.42,0.15,1.23,4666,5045,254,206
157,19427.00,6372.20,7534.18,657.07,157.27,0.57,1.13,6282,7455,200,177
158,19414.00,2630.35,3752.60,654.38,157.22,0.57,0.62,2560,3635,144,232
159,19303.00,4191.62,2209.10,680.72,156.77,0.52,1.37,4097,2129,213,156
160,19153.50,4666.78,2708.32,622.74,156.16,0.62,0.74,4594,2601,146,198
161,19086.50,4984.93,5099.70,890.99,155.89,0.30,0.46,4923,4955,124,272
162,18996.00,6051.44,6129.52,593.75,155.52,0.68,1.07,5964,6040,188,175
163,18966.00,5923.58,2547.44,640.78,155.40,0.58,1.38,5818,2479,215,156
164,18945.00,4048.51,5381.74,746.87,155.31,0.43,1.59,3928,5298,238,150
165,18935.00,178.01,6715.85,2396.41,155.27,0.04,0.17,51,6203,176,1043
166,18894.00,2911.82,3687.10,1770.90,155.10,0.08,1.36,2787,3578,301,222
167,18855.00,5986.43,1894.26,1621.24,154.94,0.09,1.25,5784,1785,314,252
168,18645.50,6478.10,7316.73,594.40,154.08,0.66,1.36,6371,7241,198,146
169,18579.00,5940.75,2317.67,681.98,153.80,0.50,1.27,5832,2237,219,172
170,18543.00,5794.27,2981.99,583.07,153.65,0.69,1.23,5700,2900,192,156
171,18486.00,4150.60,3006.77,718.47,153.42,0.45,1.05,4036,2903,220,209
172,18427.50,4659.48,2887.11,599.77,153.18,0.64,0.88,4582,2801,158,179
173,18382.50,5534.57,5918.19,556.34,152.99,0.75,0.98,5453,5837,168,172
174,18349.00,6145.07,4956.68,1703.52,152.85,0.08,0.87,6010,4808,281,324
175,18323.50,2688.04,2784.78,608.40,152.74,0.62,1.20,2600,2711,174,145
176,18280.00,3242.99,4868.95,1104.80,152.56,0.19,0.92,3154,4755,193,209
177,18278.00,5648.00,3436.75,600.64,152.55,0.64,1.18,5563,3364,189,160
178,18275.00,7469.16,4087.29,613.33,152.54,0.61,1.15,7376,4012,181,158
179,18182.00,4730.00,4432.23,565.87,152.15,0.71,0.91,4642,4349,155,171
180,18170.50,4368.25,5325.99,603.37,152.10,0.63,1.26,4277,5253,197,156
181,18152.00,2226.24,1011.12,1329.73,152.03,0.13,0.63,2106,804,250,395
182,18133.00,5318.53,5305.86,638.30,151.95,0.56,0.57,5251,5197,133,232
183,18055.00,6010.47,2402.87,631.21,151.62,0.57,1.54,5906,2334,222,144
184,18018.00,2936.11,5890.72,591.96,151.46,0.65,1.42,2828,5817,199,140
